,attraction_name,category,rating,reviews,categories,address,city
181,Hilliard Art Museum,Art museum,4.7,138,"Art museum, Tourist attraction","Hilliard Art Museum, 298 Girard Park Dr, Lafayette, LA 70503",Lafayette
182,Swamp Tours of Acadiana,Tourist attraction,4.7,121,"Tourist attraction, Boat tour agency","Swamp Tours of Acadiana, 1209 Rookery Rd, Breaux Bridge, LA 70517",Lafayette
183,Nature Station Trailhead,Hiking area,4.7,107,"Hiking area, Tourist attraction","Nature Station Trailhead, 1205 East Alexander Street, Acadiana Park, Lafayette, LA 70501",Lafayette
184,The Lafayette Museum,Museum,4.5,67,"Museum, Historical landmark, Historical place museum, History museum, Tourist attraction","The Lafayette Museum, 1122 Lafayette St, Lafayette, LA 70501",Lafayette
185,Lafayette Parish Bayou Vermilion District,Association / Organization,4.7,29,"Association / Organization, Tourist attraction","Lafayette Parish Bayou Vermilion District, 300 Fisher Rd, Lafayette, LA 70508",Lafayette
186,Azalea Trail - Lafayette LA USA,Tourist attraction,4.1,22,"Tourist attraction, Historical landmark","Azalea Trail - Lafayette LA USA, 1400 NW Evangeline Thruway, Lafayette, LA 70501",Lafayette
187,Allons A'Lafayette Inc,Tourist attraction,,,Tourist attraction,"Allons A'Lafayette Inc, 321 Cedar Crest Ct, Lafayette, LA 70501",Lafayette
188,Veterans Park,Park,4.4,240,"Park, Tourist attraction","Veterans Park, 200 Feu Follet Rd, Lafayette, LA 70508",Lafayette
189,Ragin' Cajun Water Tower,Tourist attraction,5,1,Tourist attraction,"Ragin' Cajun Water Tower, 307 Bertrand Dr, Lafayette, LA 70506",Lafayette
190,Adventureland Park,Amusement park,4.3,7837,"Amusement park, Event venue, Playground, Resort hotel, Swimming pool, Theme park, Tourist attraction, Water park","Adventureland Park, 305 34th Ave NW, Altoona, IA 50009",Des-moines
191,Blank Park Zoo,Zoo,4.5,5912,"Zoo, Tourist attraction","Blank Park Zoo, 7401 SW 9th St, Des Moines, IA 50315",Des-moines
192,Breakout Games - Des Moines,Escape room center,4.9,5368,"Escape room center, Amusement center, Children's amusement center, Corporate entertainment service, Tourist attraction","Breakout Games - Des Moines, 3763 86th St, Urbandale, IA 50322",Des-moines
193,Pappajohn Sculpture Park,Sculpture museum,4.6,4949,"Sculpture museum, Tourist attraction","Pappajohn Sculpture Park, 1330 Grand Ave, Des Moines, IA 50309",Des-moines
194,Greater Des Moines Botanical Garden,Botanical garden,4.7,3092,"Botanical garden, Gift shop, Restaurant, Tourist attraction, Wedding venue","Greater Des Moines Botanical Garden, 909 Robert D. Ray Dr, Des Moines, IA 50309",Des-moines
