,attraction_name,category,rating,reviews,categories,address,city
6475,drychh mSnw`y prkh prfswr khrdwny grmsr,Park,4.5,4,Park,"Semnan Province, 44, 69W7+Q7F drychh mSnw`y prkh prfswr khrdwny grmsr, Iran",Garmsar
6476,drychh sngy,Tourist attraction,,,Tourist attraction,"drychh sngy, 8G6M+6F, Obbeh Alikaeiha, Semnan Province, Iran",Garmsar
6477,tkh drkht,Tourist attraction,,,Tourist attraction,"tkh drkht, 8G4P+8X, Obbeh Alikaeiha, Semnan Province, Iran",Garmsar
6478,Qasr-e Bahram Caravanserai,Tourist attraction,4.6,209,Tourist attraction,"Qasr-e Bahram Caravanserai, Q58G+4V6, Semnan Province, Iran",Garmsar
6479,Garmsar Salt Cave,Tourist attraction,4.4,195,Tourist attraction,"Semnan Province, Unnamed Road, 65W3+PXX Garmsar Salt Cave, Iran",Garmsar
6480,Kavir National Park,National park,4.3,132,"National park, Tourist attraction","Kavir National Park, JC6W+3J7, Semnan Province, Iran",Garmsar
6481,Dehnamak Caravanserai,Historical landmark,4.1,125,"Historical landmark, Tourist attraction","Semnan Province, Semnan, Unnamed Rd, 7P4J+3CG Dehnamak Caravanserai, Iran",Garmsar
6482,ql`h pnhn bhrm,Tourist attraction,4.2,48,Tourist attraction,"Pirabad, rdn, grmsr, stn smnn,, 4HP6+4QW ql`h pnhn bhrm, Iran",Garmsar
6483,mydn mm khmyny,Historical landmark,4.1,37,Historical landmark,"mydn mm khmyny, 688R+MG2, Garmsar, Semnan Province, Iran",Garmsar
6484,Salty artificial lake,Tourist attraction,4.4,28,Tourist attraction,"Salty artificial lake, 63CW+WX, Lajran, Iran",Garmsar
6485,prkh jngly dkhtr khrdwny,National park,4.2,23,National park,"prkh jngly dkhtr khrdwny, 69V7+M3V, Garmsar, Semnan Province, Iran",Garmsar
6486,Eynolrashid Carvansaray,Historical place,4.2,19,"Historical place, Tourist attraction","Eynolrashid Carvansaray, P5W7+95Q, Semnan Province, Iran",Garmsar
6487,drychh nmkh (bnd nmkh) grmsr,Tourist attraction,4.8,16,Tourist attraction,"drychh nmkh (bnd nmkh) grmsr, 54RJ+RW4, Garmsar, Semnan Province, Iran",Garmsar
6488,City Park,Park,4.1,16,Park,"Semnan Province, Garmsar, stn smnn, grmsr, stn smnn, grmsr mydn shhd khybn shhyd mHmd mntZry rwbrwy bymrstn mm khmyny, 68CR+C9F City Park, Iran",Garmsar
6489,Sepah Park,Park,3.6,16,Park,"Sepah Park, 68GJ+3CM, Garmsar, Semnan Province, Iran",Garmsar
6490,khrkhnh pnbh,Museum,4.2,13,"Museum, Tourist attraction","khrkhnh pnbh, 6973+R2V, Garmsar, Semnan Province, Iran",Garmsar
6491,Garmsar,Train station,4.2,11,Train station,"Garmsar, Semnan Province, Iran",Garmsar
6492,Grhy nmkhy grmsr,Mine,4.6,9,Mine,"Grhy nmkhy grmsr, 64F2+G8, Lajran, Iran",Garmsar
6493,rdn,Tourist attraction,4.2,5,Tourist attraction,"Aradan, rdn, stn smnn,, 6FWR+VR8 rdn, Iran",Garmsar
6494,khwyr grmsr,Tourist attraction,4.8,4,Tourist attraction,"khwyr grmsr, X6XP+6FF, Semnan Province, Iran",Garmsar
6495,twnl sngy,Tourist attraction,4.7,3,Tourist attraction,"twnl sngy, FC6J+94, Mahmoodabad, Tehran Province, Iran",Garmsar
6496,Pirezan Ghale'h Mount | khwh pyrzn ql`h,Tourist attraction,5,3,Tourist attraction,"Pirezan Ghale'h Mount | khwh pyrzn ql`h, GC6W+37R, Mahmoodabad, Tehran Province, Iran",Garmsar
6497,Maa Singhwahini Temple,Hindu temple,5,2,Hindu temple,"Maa Singhwahini Temple, 683H+6QM, Garmsar, Semnan Province, Iran",Garmsar
6498,rwd shwr,Tourist attraction,4,2,Tourist attraction,"rwd shwr, 3JM3+H48, Semnan Province, Iran",Garmsar
6499,dsht frshth grmbsrd,Tourist attraction,5,2,Tourist attraction,"Saqqez Darreh, stn thrn,, G955+7C8 dsht frshth grmbsrd, Iran",Garmsar
6500,rwd shwr,Tourist attraction,5,2,Tourist attraction,"rwd shwr, 3H99+RC, Pirabad, Iran",Garmsar
6501,Great maghsuodabad Mountain,Tourist attraction,5,2,Tourist attraction,"Great maghsuodabad Mountain, FF3P+7V, Mahmoodabad, Tehran Province, Iran",Garmsar
6502,msjd srasyb,Mosque,5,2,Mosque,"msjd srasyb, 5CV8+G7F, Garmsar, Semnan Province, Iran",Garmsar
6503,Salt mine mooud,Tourist attraction,5,1,Tourist attraction,"Salt mine mooud, 683H+6QM, Garmsar, Semnan Province, Iran",Garmsar
6504,Hmm trykhy pdh,Tourist attraction,5,1,Tourist attraction,"Pa Deh, pdh,stn smnn,, 7G2P+JRX Hmm trykhy pdh, Iran",Garmsar
6505,sry aqjn bzrg (rDyy),Tourist attraction,5,1,Tourist attraction,"sry aqjn bzrg (rDyy), 59XR+R3, Ghaatool, Semnan Province, Iran",Garmsar
6506,rock,Tourist attraction,5,1,Tourist attraction,"rock, FC8M+W6, Mahmoodabad, Tehran Province, Iran",Garmsar
6507,mylh sr,Tourist attraction,5,1,Tourist attraction,"mylh sr, FC8W+HV, Mahmoodabad, Tehran Province, Iran",Garmsar
