,attraction_name,link,category,categories,rating,reviews,address,city
3502,Gau Bachcha Ghat,https://www.google.com/maps/place/Gau+Bachcha+Ghat/data=!4m7!3m6!1s0x3981b517fda030a1:0xb1874c14b0714540!8m2!3d23.137498!4d79.7838541!16s%2Fg%2F11l1pz0lxt!19sChIJoTCg_Re1gTkRQEVxsBRMh7E?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,2,"4QPM+XGX Gau Bachcha Ghat, Gau Bachcha ghat, Ma Narmada river, Jabalpur-Bhopal NH, Bilkharwa, India",Jabalpur
3503,jblpur,https://www.google.com/maps/place/%E0%A4%9C%E0%A4%AC%E0%A4%B2%E0%A4%AA%E0%A5%81%E0%A4%B0/data=!4m7!3m6!1s0x3981b397bef14003:0x958ee945185845c0!8m2!3d23.1486246!4d79.9047487!16s%2Fg%2F11t74c1bx1!19sChIJA0DxvpezgTkRwEVYGEXpjpU?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4,1,"jblpur, Balance rock, Ratan Nagar, Madan Mahal, Jabalpur, Madhya Pradesh 482001, India",Jabalpur
3504,JEC waterfall,https://www.google.com/maps/place/JEC+waterfall/data=!4m7!3m6!1s0x3981af90f4c09afb:0x98a52dcea7bef2b4!8m2!3d23.1919135!4d79.9936793!16s%2Fg%2F11kqblyq5b!19sChIJ-5rA9JCvgTkRtPK-p84tpZg?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4,1,"5XRV+QG7 JEC waterfall, Central Ordinance Depot Area, Jabalpur, Madhya Pradesh 482011, India",Jabalpur
3505,Pandutal Talab paaNdduutaal taalaab,https://www.google.com/maps/place/Pandutal+Talab+%E0%A4%AA%E0%A4%BE%E0%A4%82%E0%A4%A1%E0%A5%82%E0%A4%A4%E0%A4%BE%E0%A4%B2+%E0%A4%A4%E0%A4%BE%E0%A4%B2%E0%A4%BE%E0%A4%AC/data=!4m7!3m6!1s0x3981b3da55db900b:0x366aafd552a06779!8m2!3d23.1413858!4d79.9167341!16s%2Fg%2F11q23hjqhf!19sChIJC5DbVdqzgTkReWegUtWvajY?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,1,"Pandutal Talab paaNdduutaal taalaab, Pandu Tal,Water Pond, Shankarsh Nagar, Rampur, Jabalpur, Madhya Pradesh 482008, India",Jabalpur
3506,Sneh Lake,https://www.google.com/maps/place/Sneh+Lake/data=!4m7!3m6!1s0x3981b1d98adcb231:0x444448ed552aa95b!8m2!3d23.1581154!4d79.883925!16s%2Fg%2F11k9z6p684!19sChIJMbLcitmxgTkRW6kqVe1IREQ?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,1,"Sneh Lake, pane.ke.take.ke.samne, 2 Danmatre.nagar, rod, Nav Nivesh Colony, Ganga Nagar, Jabalpur, Madhya Pradesh 482003, India",Jabalpur
3507,Giant Banyan tree,https://www.google.com/maps/place/Giant+Banyan+tree/data=!4m7!3m6!1s0x3981af37bd8c6667:0xf50c613154f6b71d!8m2!3d23.2062938!4d79.9831778!16s%2Fg%2F11y1xqltrj!19sChIJZ2aMvTevgTkRHbf2VDFhDPU?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,1,"6X4M+G77 Giant Banyan tree, Vehicle Factory Estate, Shobhapur, Vehicle Fac. Jabalpur, Jabalpur, Madhya Pradesh 482009, India",Jabalpur
3508,Rashtra Kavi Maithili Sharan Gupt Statue,https://www.google.com/maps/place/Rashtra+Kavi+Maithili+Sharan+Gupt+Statue/data=!4m7!3m6!1s0x3981af6454722309:0x5cc57baee35cb778!8m2!3d23.1651864!4d79.9284637!16s%2Fg%2F11v3xmx8rr!19sChIJCSNyVGSvgTkReLdc4657xVw?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,2,1,"Rashtra Kavi Maithili Sharan Gupt Statue, Manas Bhawan, near Smart City Office, Wright Town, Jabalpur, Madhya Pradesh 482002, India",Jabalpur
3509,Star_city Gazebo,https://www.google.com/maps/place/Star_city+Gazebo/data=!4m7!3m6!1s0x3981b17b383599af:0x96ecfec516e12e3!8m2!3d23.215757!4d79.8939588!16s%2Fg%2F11qpq8ppv4!19sChIJr5k1OHuxgTkR4xJuUezPbgk?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,3,1,"Star_city Gazebo, 315 star galaxy phase, 4, Katangi Rd, near st. Aloysius, Karmeta, Jabalpur, Madhya Pradesh 482002, India",Jabalpur
3510,Ganga Sagar Lake view no.1,https://www.google.com/maps/place/Ganga+Sagar+Lake+view+no.1/data=!4m7!3m6!1s0x3981b1df35b3da43:0x2df1ee1002723d7a!8m2!3d23.158522!4d79.9118156!16s%2Fg%2F11s7z9swyr!19sChIJQ9qzNd-xgTkRej1yAhDu8S0?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,1,1,"5W56+CP4 Ganga Sagar Lake view no.1, Maheshpur, Jabalpur, Madhya Pradesh 482001, India",Jabalpur
3511,Lamhetaghat square,https://www.google.com/maps/place/Lamhetaghat+square/data=!4m7!3m6!1s0x3981b35156fcf103:0xb857be9fc71f6c72!8m2!3d23.1111326!4d79.8326778!16s%2Fg%2F11ts29lkwv!19sChIJA_H8VlGzgTkRcmwfx5--V7g?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4,1,"4R6M+F33 Lamhetaghat square, Jabalpur, Madhya Pradesh 482003, India",Jabalpur
3512,Nagar Nigam Fun Bus,https://www.google.com/maps/place/Nagar+Nigam+Fun+Bus/data=!4m7!3m6!1s0x3981a9004094f15d:0xcb4a4ad1d0f3390f!8m2!3d23.1685191!4d80.0128796!16s%2Fg%2F11lchc3m1d!19sChIJXfGUQACpgTkRDznz0NFKSss?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,1,"5296+JXG Nagar Nigam Fun Bus, Dumna Nature Reserve, Jabalpur, Madhya Pradesh 482005, India",Jabalpur
3513,Reat naka,https://www.google.com/maps/place/Reat+naka/data=!4m7!3m6!1s0x3981b33fc6b57921:0x9f4db736daeceb9b!8m2!3d23.1131669!4d79.9164324!16s%2Fg%2F11mb5484yk!19sChIJIXm1xj-zgTkRm-vs2ja3TZ8?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"4W78+7H7 Reat naka, Gwarighat, Jabalpur, Madhya Pradesh 482008, India",Jabalpur
3514,Badda ki duniya,https://www.google.com/maps/place/Badda+ki+duniya/data=!4m7!3m6!1s0x3981b16c0b94bc63:0x4d3d6af7a6c974a6!8m2!3d23.197702!4d79.9085339!16s%2Fg%2F11kpv_vf2c!19sChIJY7yUC2yxgTkRpnTJpvdqPU0?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"5WX5+3CM Badda ki duniya, Karmeta, Jabalpur, GCF Jabalpur, Madhya Pradesh 482002, India",Jabalpur
3515,Shri Nagar ( shrii ngr),https://www.google.com/maps/place/Shri+Nagar+%28+%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%A8%E0%A4%97%E0%A4%B0%29/data=!4m7!3m6!1s0x3981b178bfca1ef3:0xa09a7b8ca828a063!8m2!3d23.1728784!4d79.8942744!16s%2Fg%2F11k4nj6dq7!19sChIJ8x7Kv3ixgTkRY6AoqIx7mqA?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"5VFV+5P2 Shri Nagar ( shrii ngr), Kachnarcity, Jabalpur, Madhya Pradesh 482002, India",Jabalpur
3516,Couples point,https://www.google.com/maps/place/Couples+point/data=!4m7!3m6!1s0x3981b36794470da3:0xcc95d5fce030a19c!8m2!3d23.1406708!4d79.9154282!16s%2Fg%2F11l20j0qgp!19sChIJow1HlGezgTkRnKEw4PzVlcw?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"4WR8+757 Couples point, Shakti Bhawan Rd, Shankarsh Nagar, Rampur, Jabalpur, Madhya Pradesh 482008, India",Jabalpur
3517,SINGRAULI BOYS,https://www.google.com/maps/place/SINGRAULI+BOYS/data=!4m7!3m6!1s0x3981b11e94fbe51d:0xbf8f6be7fc1a0e1c!8m2!3d23.1920679!4d79.915564!16s%2Fg%2F11tcw_b21x!19sChIJHeX7lB6xgTkRHA4a_Odrj78?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"SINGRAULI BOYS, Dindyal chauk, Vikas Nagar, Jabalpur, Raksha, Madhya Pradesh 482002, India",Jabalpur
3518,Raj Chakrawarti,https://www.google.com/maps/place/Raj+Chakrawarti/data=!4m7!3m6!1s0x3981adaa16dc92d5:0xc83a9078ba3675eb!8m2!3d23.111589!4d79.9593521!16s%2Fg%2F11st_ptl54!19sChIJ1ZLcFqqtgTkR63U2uniQOsg?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"4X65+JPQ Raj Chakrawarti, durgaa btii ngr tilhrii, phesh 2, Bilhari, Jabalpur, Madhya Pradesh 482020, India",Jabalpur
3519,Murga Tiraha,https://www.google.com/maps/place/Murga+Tiraha/data=!4m7!3m6!1s0x3981b32da600b505:0x7231c7730687da04!8m2!3d23.1398211!4d79.9139895!16s%2Fg%2F11kk7d5vtr!19sChIJBbUApi2zgTkRBNqHBnPHMXI?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"4WQ7+WHH Murga Tiraha, Shakti Bhawan Rd, Panch Sheel Nagar, Satyanand Vihar, Adarsh Nagar, Rampur, Jabalpur, Madhya Pradesh 482001, India",Jabalpur
3520,Shriram janki jankalyan samiti,https://www.google.com/maps/place/Shriram+janki+jankalyan+samiti/data=!4m7!3m6!1s0x3981afdc4c3b7b93:0xc0bf3b53427f4eb3!8m2!3d23.1854618!4d79.9627554!16s%2Fg%2F11pv4xlzg4!19sChIJk3s7TNyvgTkRs05_QlM7v8A?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"Shriram janki jankalyan samiti, 74 Rewa Colony, Suhagi, Madhya Pradesh 482001, India",Jabalpur
3521,"The Jabalpur Division (West Central Railway Zone) - Jabalpur City, Madhya Pradesh, India","https://www.google.com/maps/place/The+Jabalpur+Division+%28West+Central+Railway+Zone%29+-+Jabalpur+City,+Madhya+Pradesh,+India/data=!4m7!3m6!1s0x3981af8a50371983:0x63637ad41a609202!8m2!3d23.1685786!4d79.9338798!16s%2Fg%2F11l2xqtvx7!19sChIJgxk3UIqvgTkRApJgGtR6Y2M?authuser=0&hl=en&rclk=1",Tourist attraction,Tourist attraction,,,"5W9M+CHJ The Jabalpur Division (West Central Railway Zone) - Jabalpur City, Madhya Pradesh, India, Awadhpuri, Marhatal, Jabalpur, Madhya Pradesh 482002, India",Jabalpur
3522,Khandari farm,https://www.google.com/maps/place/Khandari+farm/data=!4m7!3m6!1s0x3981af962a4947f7:0x20ad91bccb2650f0!8m2!3d23.1685786!4d79.9338798!16s%2Fg%2F11st859d93!19sChIJ90dJKpavgTkR8FAmy7yRrSA?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"5W9M+CHJ Khandari farm, Awadhpuri, Marhatal, Jabalpur, Madhya Pradesh 482002, India",Jabalpur
