,attraction_name,link,category,categories,rating,reviews,address,city
6698,Sri Padmavathi Park,https://www.google.com/maps/place/Sri+Padmavathi+Park/data=!4m7!3m6!1s0x3a4d4b0b2fd7d45f:0xfc14170fe5d5c026!8m2!3d13.6185741!4d79.4217682!16s%2Fg%2F1tfqzvh1!19sChIJX9TXLwtLTToRJsDV5Q8XFPw?authuser=0&hl=en&rclk=1,Park,Park,4.2,2517,"JC9C+CPC Sri Padmavathi Park, Bairagipatteda Rd, beside Indian Bank, Bairagi patteda, Tirupati, Andhra Pradesh 517501, India",Tirupati
6699,Rajanna Municipal Park,https://www.google.com/maps/place/Rajanna+Municipal+Park/data=!4m7!3m6!1s0x3a4d4b02e78fcceb:0x48da506a0d3dd26!8m2!3d13.6387036!4d79.4156165!16s%2Fg%2F1td7xhr0!19sChIJ68yP5wJLTToRJt3ToAaljQQ?authuser=0&hl=en&rclk=1,Park,"Park, Tourist attraction",4,2446,"Rajanna Municipal Park, Manchala St, Nehru Nagar, Tirupati, Andhra Pradesh 517501, India",Tirupati
6700,"Sri Anjaneyaswami Mandir, Tirumala Tirupati","https://www.google.com/maps/place/Sri+Anjaneyaswami+Mandir,+Tirumala+Tirupati/data=!4m7!3m6!1s0x3a4d4b87103d96e5:0x6e6adba18f1b4d83!8m2!3d13.6599149!4d79.3840095!16s%2Fg%2F11g0gdl8sk!19sChIJ5ZY9EIdLTToRg00bj6Hbam4?authuser=0&hl=en&rclk=1",Hindu temple,"Hindu temple, Tourist attraction",4.8,2333,"M95M+XJ6 Sri Anjaneyaswami Mandir, Tirumala Tirupati, Tirumala Down Rd, Anjanadri, Tirupati, Andhra Pradesh 517507, India",Tirupati
6701,Sri Venugopala Swamy Temple,https://www.google.com/maps/place/Sri+Venugopala+Swamy+Temple/data=!4m7!3m6!1s0x3a4d4b377aa17033:0xabbf9e7aa39f5215!8m2!3d13.7030482!4d79.3448467!16s%2Fg%2F11dxqzz7t4!19sChIJM3ChejdLTToRFVKfo3qev6s?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.5,1542,"P83V+6W9 Sri Venugopala Swamy Temple, S V gosamrakshanashala ,Near S V veternaray University, Chandragiri - Nagaiahgaripalli Rd, Tirupati, Andhra Pradesh 517502, India",Tirupati
6702,Kalyani Dam,https://www.google.com/maps/place/Kalyani+Dam/data=!4m7!3m6!1s0x3bb2b61535aed07f:0x27e948d1b1abde3f!8m2!3d13.6576604!4d79.2692214!16s%2Fg%2F11bwy_hsgn!19sChIJf9CuNRW2sjsRP96rsdFI6Sc?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.3,1366,"Kalyani Dam, Tirupati, to, Pileru road, Rangampet, Andhra Pradesh 517102, India",Tirupati
6703,Hanuman Temple,https://www.google.com/maps/place/Hanuman+Temple/data=!4m7!3m6!1s0x3bb2b5646dad8227:0x3d11ad89f9a585cd!8m2!3d13.6780198!4d79.3505711!16s%2Fg%2F11f03nv34y!19sChIJJ4KtbWS1sjsRzYWl-YmtET0?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.7,1214,"M9H2+664 Hanuman Temple, Tirumala-Tirupati Rd, Balajy Colony, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6704,Jungle Book Water Falls,https://www.google.com/maps/place/Jungle+Book+Water+Falls/data=!4m7!3m6!1s0x3a4d4bb0d61328b5:0x834de1872efd4cce!8m2!3d13.6601211!4d79.3840139!16s%2Fg%2F11fhtllgpy!19sChIJtSgT1rBLTToRzkz9LofhTYM?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,1196,"Jungle Book Water Falls, Tirumala Down Rd, Anjanadri, Tirupati, Andhra Pradesh 517507, India",Tirupati
6705,Geetopadesam Park,https://www.google.com/maps/place/Geetopadesam+Park/data=!4m7!3m6!1s0x3bb2b56594f3dcf3:0x195ae543e8552429!8m2!3d13.6736417!4d79.3505852!16s%2Fg%2F1tdnvbfk!19sChIJ89zzlGW1sjsRKSRV6EPlWhk?authuser=0&hl=en&rclk=1,Park,Park,4.5,1035,"M9F2+976 Geetopadesam Park, Tirumala-Tirupati Rd, Garudadri Nagar, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6706,Govindaraja Swamy Temple Museum,https://www.google.com/maps/place/Govindaraja+Swamy+Temple+Museum/data=!4m7!3m6!1s0x3bb2ca9d49b3b457:0xbeb2c75f1497a9e7!8m2!3d13.6302772!4d79.4177076!16s%2Fg%2F11gcls0j4l!19sChIJV7SzSZ3KsjsR56mXFF_Hsr4?authuser=0&hl=en&rclk=1,Museum,"Museum, Hindu temple, Tourist attraction",4.6,840,"JCJ9+438 Govindaraja Swamy Temple Museum, N Mada St, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6707,Supatham (Kalyanotsavam) entry,https://www.google.com/maps/place/Supatham+%28Kalyanotsavam%29+entry/data=!4m7!3m6!1s0x3bb2b57fca13772d:0x6a458622017f46f5!8m2!3d13.680395!4d79.345771!16s%2Fg%2F11t505k1_y!19sChIJLXcTyn-1sjsR9UZ_ASKGRWo?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,838,"M8JW+4CC Supatham (Kalyanotsavam) entry, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6708,Archaeological Museum,https://www.google.com/maps/place/Archaeological+Museum/data=!4m7!3m6!1s0x3bb2b3f10457c569:0x993d6ea96e6fb9c!8m2!3d13.5824517!4d79.3047636!16s%2Fg%2F11b5yxc4sy!19sChIJacVXBPGzsjsRnPvmlurWkwk?authuser=0&hl=en&rclk=1,Museum,"Museum, Tourist attraction",4.3,737,"H8J3+XWJ Archaeological Museum, Raja Mahal, Chandragiri Kota Chandragiri, Tirupati, Andhra Pradesh 517101, India",Tirupati
6709,Jungle Book & Park,https://www.google.com/maps/place/Jungle+Book+%26+Park/data=!4m7!3m6!1s0x3a4d4af7263ec1ad:0xa69a4f24d404ec54!8m2!3d13.6551719!4d79.4205254!16s%2Fg%2F1vtzfn1p!19sChIJrcE-JvdKTToRVOwE1CRPmqY?authuser=0&hl=en&rclk=1,Park,Park,4.1,713,"Jungle Book & Park, Near, KT Rd, Tirupati, Andhra Pradesh 517507, India",Tirupati
6710,Swami Pushkarini,https://www.google.com/maps/place/Swami+Pushkarini/data=!4m7!3m6!1s0x3bb2ca9d5d48e667:0x279880e4eda37467!8m2!3d13.6843976!4d79.3478989!16s%2Fg%2F1trqfnjy!19sChIJZ-ZIXZ3KsjsRZ3Sj7eSAmCc?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Cultural landmark",4.7,710,"M8MX+Q52 Swami Pushkarini, Pushkarini St, Tirumala, Tirupathi, Tirupati, Andhra Pradesh 517504, India",Tirupati
6711,Tirupati View Point,https://www.google.com/maps/place/Tirupati+View+Point/data=!4m7!3m6!1s0x3a4d4af6a8764d2b:0xa52e689b49b06d83!8m2!3d13.658152!4d79.4204456!16s%2Fg%2F11dy7hkvhk!19sChIJK012qPZKTToRg22wSZtoLqU?authuser=0&hl=en&rclk=1,Tourist attraction,"Tourist attraction, Historical landmark",4.6,666,"MC5C+758 Tirupati View Point, Tirumala Down Rd, Anjanadri, Tirupati, Andhra Pradesh 517507, India",Tirupati
6712,"View Point, Tirumala, Tirupati, Andhrapradesh","https://www.google.com/maps/place/View+Point,+Tirumala,+Tirupati,+Andhrapradesh/data=!4m7!3m6!1s0x3bb2b50b5544d687:0xa521079c6be137b7!8m2!3d13.6653829!4d79.348253!16s%2Fg%2F11grtj2tzm!19sChIJh9ZEVQu1sjsRtzfha5wHIaU?authuser=0&hl=en&rclk=1",Tourist attraction,Tourist attraction,4.6,555,"View Point, Tirumala, Tirupati, Andhrapradesh, Tirumala Up Rd, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6713,Sri Kapileswara Prakruti Udyanavanamu,https://www.google.com/maps/place/Sri+Kapileswara+Prakruti+Udyanavanamu/data=!4m7!3m6!1s0x3a4d4afa167de5f3:0xa6acc4832e8e6d54!8m2!3d13.6493045!4d79.4186549!16s%2Fg%2F1pyqnc2gn!19sChIJ8-V9FvpKTToRVG2OLoPErKY?authuser=0&hl=en&rclk=1,City park,City park,4.5,549,"JCX9+PFC Sri Kapileswara Prakruti Udyanavanamu, Srinivasa Nagar, N G O Colony, Tirupati, Andhra Pradesh 517507, India",Tirupati
6714,Gogarbham Dam Park,https://www.google.com/maps/place/Gogarbham+Dam+Park/data=!4m7!3m6!1s0x3bb2ca99525da609:0x3ae3458c06799dc4!8m2!3d13.689844!4d79.352796!16s%2Fg%2F1pyqmhcs6!19sChIJCaZdUpnKsjsRxJ15BoxF4zo?authuser=0&hl=en&rclk=1,Park,"Park, Tourist attraction",4.3,542,"M9Q3+W4M Gogarbham Dam Park, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6715,Sri Bedi Anjaneya Swamy Temple,https://www.google.com/maps/place/Sri+Bedi+Anjaneya+Swamy+Temple/data=!4m7!3m6!1s0x3bb2b56280b3f079:0x6dd2cb3898b07468!8m2!3d13.6834605!4d79.3491846!16s%2Fg%2F1td5_533!19sChIJefCzgGK1sjsRaHSwmDjL0m0?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.7,386,"M8MX+9MM Sri Bedi Anjaneya Swamy Temple, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6716,Welcome to Tirupati Arch,https://www.google.com/maps/place/Welcome+to+Tirupati+Arch/data=!4m7!3m6!1s0x3a4d4b411c2e9aa7:0x8c667d0997cbef0f!8m2!3d13.6143252!4d79.3990238!16s%2Fg%2F11bzvtfz1l!19sChIJp5ouHEFLTToRD-_Llwl9Zow?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,270,"J97X+PJJ Welcome to Tirupati Arch, Tummalagunta Main Rd, SVU Staff Colony, Sri Padmavati Mahila Visvavidyalayam, Tirupati, Andhra Pradesh 517502, India",Tirupati
6717,Malwadigundam Water Falls,https://www.google.com/maps/place/Malwadigundam+Water+Falls/data=!4m7!3m6!1s0x3a4d4af115a48753:0x2de442ab39fef075!8m2!3d13.6601211!4d79.3840139!16s%2Fg%2F11f1hn0z15!19sChIJU4ekFfFKTToRdfD-OatC5C0?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.4,225,"Malwadigundam Water Falls, Tirumala Down Rd, Anjanadri, Tirupati, Andhra Pradesh 517507, India",Tirupati
6718,Sesha Theertham Tirumala,https://www.google.com/maps/place/Sesha+Theertham+Tirumala/data=!4m7!3m6!1s0x3a4d35572b8d2c2f:0x8a761cadda238bf1!8m2!3d13.6909338!4d79.389107!16s%2Fg%2F11cn3llhph!19sChIJLyyNK1c1TToR8Ysj2q0cdoo?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,176,"M9RQ+9JH Sesha Theertham Tirumala, Tirupati, Andhra Pradesh 517501, India",Tirupati
6719,Sri Venkateshwara Temple,https://www.google.com/maps/place/Sri+Venkateshwara+Temple/data=!4m7!3m6!1s0x3a4d4b064a619ed9:0x31c50eb22b2a601b!8m2!3d13.6312039!4d79.4222326!16s%2Fg%2F1pyqgzsj0!19sChIJ2Z5hSgZLTToRG2AqK7IOxTE?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.5,167,"JCJC+FVQ Sri Venkateshwara Temple, Bandla St, Mallaiah Gunta Katta, Tata Nagar, Tirupati, Andhra Pradesh 517501, India",Tirupati
6720,Shilparamam Boating Area,https://www.google.com/maps/place/Shilparamam+Boating+Area/data=!4m7!3m6!1s0x3a4d4b96941e9ef5:0x5ffdf6e1a1e76fef!8m2!3d13.6151923!4d79.4411888!16s%2Fg%2F1tcycwyf!19sChIJ9Z4elJZLTToR72_noeH2_V8?authuser=0&hl=en&rclk=1,Park,Park,4,163,"JC8R+3FG Shilparamam Boating Area, Korramenugunta, Tirupati, Andhra Pradesh 517501, India",Tirupati
6721,View Point,https://www.google.com/maps/place/View+Point/data=!4m7!3m6!1s0x3bb2b583d8a22a13:0x8c3cdb34432839ec!8m2!3d13.6647108!4d79.3619949!16s%2Fg%2F11h1_0sfsc!19sChIJEyqi2IO1sjsR7DkoQzTbPIw?authuser=0&hl=en&rclk=1,Tourist attraction,"Tourist attraction, Mountain cabin",4.6,161,"M976+VQQ View Point, Chittoor, Andhra Pradesh 517507, India",Tirupati
6722,Chakra Teertham,https://www.google.com/maps/place/Chakra+Teertham/data=!4m7!3m6!1s0x3bb2ca815756de35:0xff819a5864b2372c!8m2!3d13.6884139!4d79.3405929!16s%2Fg%2F11b6_7twsd!19sChIJNd5WV4HKsjsRLDeyZFiagf8?authuser=0&hl=en&rclk=1,Lake,Lake,4.5,153,"Chakra Teertham, Tirumala, Andhra Pradesh 517504",Tirupati
6723,Tirumala View Point,https://www.google.com/maps/place/Tirumala+View+Point/data=!4m7!3m6!1s0x3bb2b5c751476b21:0xb8f2e07304042cab!8m2!3d13.6398415!4d79.365648!16s%2Fg%2F11f6d7gh65!19sChIJIWtHUce1sjsRqywEBHPg8rg?authuser=0&hl=en&rclk=1,Vista point,Vista point,4.8,148,"J9Q8+W7J Tirumala View Point, Chittoor, Andhra Pradesh 517507, India",Tirupati
6724,Sri Siva Nagendra Swami Temple,https://www.google.com/maps/place/Sri+Siva+Nagendra+Swami+Temple/data=!4m7!3m6!1s0x3a4d4afc05954e61:0xac5b3a5dde6654d8!8m2!3d13.645748!4d79.4189902!16s%2Fg%2F124spq8hj!19sChIJYU6VBfxKTToR2FRm3l06W6w?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.3,138,"JCW9+7HX Sri Siva Nagendra Swami Temple, KT Rd, Srinivasa Nagar, Varadaraj Nagar, Tirupati, Andhra Pradesh 517501, India",Tirupati
6725,Annamayya Circle,https://www.google.com/maps/place/Annamayya+Circle/data=!4m7!3m6!1s0x3bb2b5be61f00021:0x97a92d57c08864b0!8m2!3d13.6807442!4d79.3509747!16s%2Fg%2F11nwbsr5gk!19sChIJIQDwYb61sjsRsGSIwFctqZc?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,136,"M9J2+79X Annamayya Circle, Lepakshi Cir, Balaji Nagar, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6726,Rock Garden.,https://www.google.com/maps/place/Rock+Garden./data=!4m7!3m6!1s0x3bb2cb5f87f62857:0x4ab0ea1ad1a26d0e!8m2!3d13.685949!4d79.3408562!16s%2Fg%2F11g4dkz_2n!19sChIJVyj2h1_LsjsRDm2i0RrqsEo?authuser=0&hl=en&rclk=1,Park,Park,4.5,130,"M8PR+98H Rock Garden., Sila Thoranam Rd, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6727,GMR Eco Park,https://www.google.com/maps/place/GMR+Eco+Park/data=!4m7!3m6!1s0x3bb2b56f0c503a6d:0x1c48e352bb3fcbd7!8m2!3d13.6706807!4d79.3499414!16s%2Fg%2F1pyqg2sv7!19sChIJbTpQDG-1sjsR18s_u1LjSBw?authuser=0&hl=en&rclk=1,Park,"Park, Tourist attraction",4.6,124,"GMR Eco Park, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6728,Sri Venkateswara Dhyana Jnana Mandiram,https://www.google.com/maps/place/Sri+Venkateswara+Dhyana+Jnana+Mandiram/data=!4m7!3m6!1s0x3bb2b5632e3f2cd9:0xfea362ed26612835!8m2!3d13.6802375!4d79.3469873!16s%2Fg%2F11cn0t3905!19sChIJ2Sw_LmO1sjsRNShhJu1io_4?authuser=0&hl=en&rclk=1,Museum,"Museum, Tourist attraction",4.5,123,"M8JW+3QX Sri Venkateswara Dhyana Jnana Mandiram, Rina Rd, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6729,"Hill View Point, Sri vari Face formation on Rock (Srivari Mettu View)","https://www.google.com/maps/place/Hill+View+Point,+Sri+vari+Face+formation+on+Rock+%28Srivari+Mettu+View%29/data=!4m7!3m6!1s0x3bb2b5526454a95f:0x3c9ecc68b89b431e!8m2!3d13.6707016!4d79.3468163!16s%2Fg%2F11scgqfmw3!19sChIJX6lUZFK1sjsRHkObuGjMnjw?authuser=0&hl=en&rclk=1",Tourist attraction,Tourist attraction,4.6,123,"M8CW+7PP Hill View Point, Sri vari Face formation on Rock (Srivari Mettu View), Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6730,Kumaradhara Theertham,https://www.google.com/maps/place/Kumaradhara+Theertham/data=!4m7!3m6!1s0x3bb2cb0759cdc6dd:0xd2ada62ad2e92957!8m2!3d13.7285666!4d79.3277297!16s%2Fg%2F11ckrj5v3p!19sChIJ3cbNWQfLsjsRVynp0iqmrdI?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.6,99,"P8HH+C3H Kumaradhara Theertham, Papavinasanam Rd, Andhra Pradesh 517504, India",Tirupati
6731,Naravari palli waterfalls,https://www.google.com/maps/place/Naravari+palli+waterfalls/data=!4m7!3m6!1s0x3bb2bb1825f6a8b1:0xb548c9d77784c85!8m2!3d13.578487!4d79.1999906!16s%2Fg%2F11qm9yyfnp!19sChIJsaj2JRi7sjsRhUx4d52MVAs?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.2,74,"H5HX+9XX Naravari palli waterfalls, Narasinga Puram, Andhra Pradesh 517102, India",Tirupati
6732,View Point of Jungle Book,https://www.google.com/maps/place/View+Point+of+Jungle+Book/data=!4m7!3m6!1s0x3a4d4af0d6d598bf:0xd5e149e2c89003a0!8m2!3d13.6533768!4d79.4182147!16s%2Fg%2F11f1hpn9w4!19sChIJv5jV1vBKTToRoAOQyOJJ4dU?authuser=0&hl=en&rclk=1,Vista point,"Vista point, Tourist attraction",4.2,71,"MC39+974 View Point of Jungle Book, Tirupati, Andhra Pradesh 517507, India",Tirupati
6733,P3,https://www.google.com/maps/place/P3/data=!4m7!3m6!1s0x3bb2b565db1db5bb:0xc4f396c760d92812!8m2!3d13.6780377!4d79.3534709!16s%2Fg%2F1q663t3vs!19sChIJu7Ud22W1sjsREijZYMeW88Q?authuser=0&hl=en&rclk=1,Park,Park,4.3,65,"M9H3+699 P3, Tirumala Outer Ring Rd, Balajy Colony, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6734,Shri Venkateswara Idol,https://www.google.com/maps/place/Shri+Venkateswara+Idol/data=!4m7!3m6!1s0x3bb2b5915ff61267:0x7fe7db746c12c499!8m2!3d13.6808875!4d79.3506094!16s%2Fg%2F11fqj5cs94!19sChIJZxL2X5G1sjsRmcQSbHTb538?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,64,"M9J2+965 Shri Venkateswara Idol, Balajy Colony, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6735,Birds Park,https://www.google.com/maps/place/Birds+Park/data=!4m7!3m6!1s0x3a4d4af0da88dbd5:0xcb31b098eebc75df!8m2!3d13.6548024!4d79.4189926!16s%2Fg%2F11gc8882sn!19sChIJ1duI2vBKTToR33W87piwMcs?authuser=0&hl=en&rclk=1,Bird watching area,Bird watching area,4,58,"MC39+WHH Birds Park, Tirupati, Andhra Pradesh 517507, India",Tirupati
6736,Gogarbam Dam,https://www.google.com/maps/place/Gogarbam+Dam/data=!4m7!3m6!1s0x3bb2cbfc2c318ceb:0xdabc4cc0a4c77f37!8m2!3d13.6909547!4d79.3540586!16s%2Fg%2F11t6375t_x!19sChIJ64wxLPzLsjsRN3_HpMBMvNo?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.4,55,"M9R3+9JM Gogarbam Dam, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6737,Foot path and down road conjunction,https://www.google.com/maps/place/Foot+path+and+down+road+conjunction/data=!4m7!3m6!1s0x3bb2b560ff927129:0xab2448c2fac80c86!8m2!3d13.6703117!4d79.3570917!16s%2Fg%2F11ptvr40lj!19sChIJKXGS_2C1sjsRhgzI-sJIJKs?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,53,"Foot path and down road conjunction, Tirumala Down Rd, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6738,New Stairs End,https://www.google.com/maps/place/New+Stairs+End/data=!4m7!3m6!1s0x3bb2b5e3f8a1f7ff:0x53568aa2b361b1b2!8m2!3d13.6650581!4d79.3587277!16s%2Fg%2F11rts1d0xf!19sChIJ__eh-OO1sjsRsrFhs6KKVlM?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,52,"M985+2FH New Stairs End, Tirumala Down Rd, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6739,Seshachala Vanadarshini Forest Museum,https://www.google.com/maps/place/Seshachala+Vanadarshini+Forest+Museum/data=!4m7!3m6!1s0x3a4d4b473a20918f:0x30114e2ac643cac3!8m2!3d13.6595676!4d79.3839029!16s%2Fg%2F11fjhwgcvm!19sChIJj5EgOkdLTToRw8pDxipOETA?authuser=0&hl=en&rclk=1,Museum,Museum,4.3,52,"M95M+RHC Seshachala Vanadarshini Forest Museum, Anjanadri, Tirupati, Andhra Pradesh 517507, India",Tirupati
6740,Sacred Kadamba Vanam,https://www.google.com/maps/place/Sacred+Kadamba+Vanam/data=!4m7!3m6!1s0x3bb2b56560cad331:0x2d273565312ade26!8m2!3d13.672651!4d79.348061!16s%2Fg%2F1pyqklwhr!19sChIJMdPKYGW1sjsRJt4qMWU1Jy0?authuser=0&hl=en&rclk=1,Park,Park,4.4,49,"Sacred Kadamba Vanam, 449, Garudadri Nagar Cir, Garudadri Nagar, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6741,Tirupati to tirumala rest place,https://www.google.com/maps/place/Tirupati+to+tirumala+rest+place/data=!4m7!3m6!1s0x3bb2b58cb9790bc7:0x6b82f69a2490346f!8m2!3d13.6582566!4d79.3477454!16s%2Fg%2F11jz6g1rz5!19sChIJxwt5uYy1sjsRbzSQJJr2gms?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,47,"M85X+83G Tirupati to tirumala rest place, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6742,Tirupathi City View Point,https://www.google.com/maps/place/Tirupathi+City+View+Point/data=!4m7!3m6!1s0x3a4d4bc34ea943f3:0x97ca32e02176cbb3!8m2!3d13.659248!4d79.4151499!16s%2Fg%2F11gjhj8vp9!19sChIJ80OpTsNLTToRs8t2IeAyypc?authuser=0&hl=en&rclk=1,Scenic spot,"Scenic spot, Tourist attraction",4.6,35,"MC58+M3R Tirupathi City View Point, Tirumala Down Rd, Tirupati, Andhra Pradesh 517507, India",Tirupati
6743,jiNkl paark,https://www.google.com/maps/place/%E0%B0%9C%E0%B0%BF%E0%B0%82%E0%B0%95%E0%B0%B2+%E0%B0%AA%E0%B0%BE%E0%B0%B0%E0%B1%8D%E0%B0%95%E0%B1%8D/data=!4m7!3m6!1s0x3a4d4b545303366d:0xdecc2d66cb2ba8e7!8m2!3d13.6601211!4d79.3840139!16s%2Fg%2F11fmljyxcg!19sChIJbTYDU1RLTToR56gry2YtzN4?authuser=0&hl=en&rclk=1,City park,City park,4.5,30,"jiNkl paark, Tirumala Down Rd, Anjanadri, Tirupati, Andhra Pradesh 517507, India",Tirupati
6744,Naamala Park,https://www.google.com/maps/place/Naamala+Park/data=!4m7!3m6!1s0x3bb2b5e60a700763:0x269411a64aa61061!8m2!3d13.6798128!4d79.348714!16s%2Fg%2F11s5dyrzw1!19sChIJYwdwCua1sjsRYRCmSqYRlCY?authuser=0&hl=en&rclk=1,Park,Park,4.8,25,"Naamala Park, SMC, Bus Stop, Sankumitta Rd, Balajy Colony, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6745,TIRUMALA SELFIE POINT,https://www.google.com/maps/place/TIRUMALA+SELFIE+POINT/data=!4m7!3m6!1s0x3bb2b563c8467fd3:0xd21161a60067fe03!8m2!3d13.6803923!4d79.3508893!16s%2Fg%2F11fyxggkxk!19sChIJ039GyGO1sjsRA_5nAKZhEdI?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.3,21,"TIRUMALA SELFIE POINT, 517504, Seshadri Nagar, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6746,Pilla kaluva,https://www.google.com/maps/place/Pilla+kaluva/data=!4m7!3m6!1s0x3bb2b74b5eb3bd75:0xbcb7b64d00f9188!8m2!3d13.640285!4d79.2874533!16s%2Fg%2F11q_7vs3w0!19sChIJdb2zXku3sjsRiJEP0GR7yws?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,18,"J7RP+4X8 Pilla kaluva, Unnamed Road, Tirupati, Andhra Pradesh 517504, India",Tirupati
6747,Swamy darshanam waiting room 7,https://www.google.com/maps/place/Swamy+darshanam+waiting+room+7/data=!4m7!3m6!1s0x3bb2b587a058038d:0x31e5cf3d4d9e6846!8m2!3d13.6800809!4d79.3413228!16s%2Fg%2F11swk36j02!19sChIJjQNYoIe1sjsRRmieTT3P5TE?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,3.8,17,"M8HR+VH8 Swamy darshanam waiting room 7, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6748,Silathoranam Zoo,https://www.google.com/maps/place/Silathoranam+Zoo/data=!4m7!3m6!1s0x3bb2cbcbc09dabef:0xc2bda997f4ad5081!8m2!3d13.6876844!4d79.3403566!16s%2Fg%2F11s90sbnfc!19sChIJ76udwMvLsjsRgVCt9JepvcI?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,3.9,16,"M8PR+W5H Silathoranam Zoo, Silathoranam Garden, Sila Thoranam Rd, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6749,Tirumala Ghat,https://www.google.com/maps/place/Tirumala+Ghat/data=!4m7!3m6!1s0x3bb2b56b6a90e3cb:0xd3537ca20cf9f86!8m2!3d13.6653953!4d79.3428453!16s%2Fg%2F11t_h3r950!19sChIJy-OQamu1sjsRhp_PIMo3NQ0?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.4,14,"M88V+545 Tirumala Ghat, Tirumala Up Rd, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
6750,Mandapam palli waterfalls,https://www.google.com/maps/place/Mandapam+palli+waterfalls/data=!4m7!3m6!1s0x3bb2b3b1c23eaba1:0xb28961ce087696e0!8m2!3d13.531837!4d79.316597!16s%2Fg%2F11mgdp9f7_!19sChIJoas-wrGzsjsR4JZ2CM5hibI?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,14,"Mandapam palli waterfalls, MDR402, Andhra Pradesh 517561, India",Tirupati
6751,Chakrathaazhwaar Fountain,https://www.google.com/maps/place/Chakrathaazhwaar+Fountain/data=!4m7!3m6!1s0x3bb2ca9d6a0440c5:0x6f6064f74ab510d2!8m2!3d13.6848618!4d79.3480089!16s%2Fg%2F11b6nvypp_!19sChIJxUAEap3KsjsR0hC1SvdkYG8?authuser=0&hl=en&rclk=1,Fountain,"Fountain, Hindu temple",4.4,13,"M8MX+W6R Chakrathaazhwaar Fountain, N Mada St, Tirumala, Tirupati, Andhra Pradesh 517504, India",Tirupati
